party,belief,church,opera,metal,happy,educ,age,words,status,income
Dem,theist,often,not,not,yes,17,44,8,67.8,38981
other,unsure,rarely,not,not,yes,18,37,8,85.2,86345
Dem,theist,rarely,like,not,yes,13,28,10,20.9,26640
Dem,theist,often,like,not,yes,15,42,6,60.5,36355
Rep,theist,rarely,not,not,yes,12,70,9,29.2,20676
Dem,theist,often,not,not,yes,6,82,2,28.8,8886
other,theist,often,not,not,yes,12,59,5,39.7,13759
Rep,theist,often,like,not,yes,16,58,9,92.8,137445
other,theist,often,not,not,yes,16,25,6,39.7,2573
Rep,theist,often,not,like,yes,17,28,7,23.8,22948
Rep,theist,rarely,not,not,yes,8,59,7,13.2,59724
other,theist,often,like,not,yes,16,34,6,88.3,36922
Dem,theist,rarely,like,not,yes,12,29,4,75.5,26244
Dem,theist,rarely,not,not,yes,12,37,6,38.8,30826
Rep,theist,rarely,not,not,yes,12,37,8,52.4,29598
Rep,theist,often,like,not,yes,16,63,8,41.8,50489
other,theist,often,not,not,yes,16,59,8,84.2,48201
Dem,theist,often,not,not,yes,12,40,4,43,20971
Dem,theist,rarely,not,not,yes,14,28,6,38.8,38449
other,theist,rarely,like,not,yes,14,38,9,56.9,28721
Dem,theist,often,like,like,yes,12,66,3,12.6,2466
Dem,theist,often,not,not,yes,14,63,7,38.8,36407
Rep,theist,often,not,not,yes,11,26,4,25.7,30310
Rep,theist,often,not,not,yes,12,78,5,68.6,16696
Dem,theist,rarely,not,not,yes,20,42,8,85.5,34932
other,theist,often,not,not,yes,12,44,8,19.6,4157
Rep,unsure,rarely,like,not,yes,12,79,10,73.6,5227
Dem,theist,rarely,not,not,yes,10,73,8,22.1,9025
Rep,theist,rarely,not,not,yes,17,35,5,25,30917
other,theist,rarely,not,not,yes,16,43,7,35.3,33896
Rep,theist,often,not,not,yes,14,23,4,62.7,27054
Rep,theist,often,not,not,yes,16,51,6,76.3,4365
Dem,theist,rarely,not,not,yes,13,33,6,17.1,15056
Rep,theist,rarely,like,not,yes,19,82,10,92.8,59541
Rep,theist,often,not,not,yes,12,31,6,37.9,36517
other,unsure,rarely,like,like,yes,18,45,9,20.8,73115
Rep,theist,often,like,not,yes,19,73,4,80.9,30765
Dem,theist,often,not,not,no,11,35,4,26.8,12122
Rep,theist,often,like,not,yes,16,77,10,80.9,20888
other,theist,often,like,not,yes,14,41,4,73.5,25276
Rep,theist,rarely,not,not,no,12,36,6,25.7,31051
other,theist,often,not,not,yes,13,25,3,32,16989
other,theist,often,not,not,yes,12,25,2,39.9,11965
Rep,unsure,rarely,not,like,yes,15,20,6,23.3,34770
other,unsure,often,like,not,yes,18,50,8,62.9,96842
Dem,unsure,rarely,not,not,no,16,45,10,28.7,43185
Dem,theist,often,not,not,no,18,29,4,31.1,58068
Dem,unsure,rarely,not,not,no,16,40,1,71,30777
Rep,theist,rarely,not,not,yes,10,64,6,32,35683
other,theist,often,not,not,yes,14,50,6,55.3,37202
Dem,unsure,rarely,not,not,yes,20,46,8,91.1,119271
other,theist,rarely,not,like,yes,12,30,6,39.7,15674
Dem,unsure,rarely,not,not,yes,12,44,10,38.8,25909
Dem,theist,often,like,not,no,12,75,4,38.1,11594
other,theist,rarely,not,not,yes,12,40,7,26.5,14571
other,theist,rarely,like,not,yes,11,25,7,27,9433
Rep,theist,often,not,not,yes,14,44,6,73.5,42495
Dem,theist,rarely,like,not,yes,12,44,7,19.6,52378
Dem,theist,often,not,not,yes,12,68,6,39.7,33339
Rep,theist,often,not,not,yes,16,43,8,57.8,44019
other,unsure,rarely,not,not,yes,18,36,7,71.7,31001
Dem,theist,often,not,like,yes,12,43,5,20.7,16521
Rep,theist,rarely,not,not,yes,19,63,7,82.5,43926
Rep,theist,often,not,not,yes,16,31,6,43,32298
Dem,theist,often,like,not,yes,8,76,0,25,10211
Dem,athiest,rarely,like,not,no,18,58,9,62.9,20031
other,unsure,rarely,not,like,yes,12,28,5,18.8,18351
other,theist,rarely,like,like,yes,9,21,9,55.3,9512
other,theist,often,like,not,yes,13,77,9,38.8,5946
other,theist,rarely,not,not,yes,10,33,5,32.6,9229
Dem,theist,rarely,not,not,yes,11,47,5,21.6,16345
other,theist,rarely,not,not,yes,10,51,5,59.1,32515
other,unsure,rarely,not,like,yes,15,45,6,62,31191
other,theist,rarely,not,not,yes,14,23,5,53.6,18807
Rep,theist,often,not,not,yes,18,52,9,80.9,40625
Dem,theist,often,not,not,yes,12,42,6,35.8,32264
Dem,unsure,rarely,not,not,yes,13,53,5,34.5,6902
Rep,theist,rarely,not,not,no,12,42,6,21.6,18022
Dem,theist,often,not,not,yes,17,63,6,57.8,123034
Rep,theist,rarely,not,not,yes,19,41,9,38.3,136456
other,unsure,rarely,not,like,yes,12,43,5,14.8,26583
Rep,theist,rarely,not,like,yes,15,28,6,19.6,21178
Rep,theist,often,like,not,yes,14,30,9,28.6,49236
other,theist,often,like,not,yes,13,81,2,38.8,31231
other,theist,often,not,not,yes,16,30,7,76.3,26070
