belief,major,boyGirl,atoms,earth,church,age,words,educ,status,income
athiest,STEM,corr,corr,corr,rarely,62,8,16,50.4,32691
theist,none,corr,incDK,corr,rarely,55,9,12,41,14697.5
theist,none,corr,incDK,corr,rarely,26,4,12,25.2,18474.5
theist,other,corr,incDK,incDK,rarely,36,6,16,69.3,40318
theist,none,incDK,corr,corr,rarely,80,7,13,33.7,19462
unsure,none,corr,corr,incDK,rarely,70,5,14,38.8,20494
theist,STEM,corr,incDK,incDK,often,56,6,18,87.3,117174
unsure,other,corr,incDK,incDK,rarely,35,7,16,41.1,45431
theist,none,incDK,incDK,corr,rarely,23,5,13,13.6,3922
theist,none,incDK,incDK,corr,rarely,18,3,11,38.9,6489
theist,none,corr,incDK,incDK,rarely,43,4,9,14,21623
theist,none,corr,corr,corr,rarely,53,5,13,43,19645.5
theist,none,corr,incDK,incDK,rarely,25,6,14,19.6,10408.5
unsure,other,corr,corr,incDK,rarely,64,8,16,64.2,127502
unsure,none,corr,incDK,corr,rarely,30,9,15,52,44145
unsure,other,corr,incDK,corr,rarely,53,7,16,84.5,48503
theist,none,corr,corr,incDK,rarely,42,6,13,38.3,17191
theist,none,incDK,incDK,corr,rarely,42,6,13,39.7,10483.5
theist,STEM,corr,corr,corr,rarely,45,9,19,64.2,40222
unsure,other,corr,corr,corr,rarely,72,7,19,71.4,19380
theist,none,corr,incDK,corr,often,32,5,15,24.6,19310
theist,none,incDK,incDK,corr,often,34,6,12,68.6,6796
theist,none,incDK,incDK,corr,rarely,65,6,11,18.6,14992
unsure,other,corr,incDK,corr,often,64,7,16,91.1,47065
theist,other,corr,corr,corr,rarely,44,7,16,44.6,3322
unsure,none,corr,incDK,corr,rarely,32,6,14,52,33004
theist,none,incDK,incDK,corr,rarely,34,6,14,31.6,47499
theist,none,corr,incDK,corr,rarely,56,5,12,73.9,46414
theist,other,corr,corr,corr,often,68,6,16,76.3,20235
theist,none,incDK,corr,corr,rarely,56,1,12,23.7,14527.5
theist,none,corr,incDK,corr,often,69,7,15,21.8,3362
theist,none,incDK,incDK,corr,often,75,5,14,26.1,28707
unsure,none,incDK,incDK,incDK,often,22,6,14,17.5,11945
theist,STEM,incDK,incDK,corr,rarely,67,6,15,63.7,5128
theist,other,incDK,incDK,incDK,often,75,7,17,69.3,55742
theist,none,corr,corr,incDK,often,64,6,13,24.2,25858
theist,none,incDK,incDK,incDK,often,32,2,9,32.6,6589
theist,none,corr,incDK,corr,often,66,6,12,24.2,61721
unsure,other,incDK,incDK,incDK,rarely,74,4,16,38.9,38797
theist,none,incDK,corr,corr,rarely,33,5,12,26.2,39507
unsure,none,corr,incDK,corr,rarely,30,8,11,19.6,22121
theist,none,corr,incDK,corr,rarely,45,7,14,32,15370.5
